Unnamed: 0,Comment
0,comment imaginezvous futur lia ?
2,ah gros menteurs ! fait croire cetait a cause covid cartes graphiques composants informatiques etaient penurie ! a bon dos sacre covid monde fake !
3,tous ia
4,heidelberg lassistant virtuel debarque cette bonne ville devraient essayer site poste orange voir cest quelle innovation !!!
5,andrulis a trop melon plus sonne comme vendeur dencyclopedies scientifiques mieux!!! bon ceo type entreprise doit etre ingenieur tres haut niveau haut niveau prediction boite juste parmi beaucoup non a tete pyramide boites dia comme limagine
6,franchement vison lentrepreneur chinois fie plus a lavis autres qua luimeme peu simpliste comme tous hommes fait suivre mouvement sauf fout lhumain comme certains europeens majorite usa limportant cest fric
7,lintelligence artificielle si reussit a prendre corps uniforme statutaire autrement dit reflet dirigeants ni plus ni moins rebellera sauf si concepteurs humains veulent bien bref lhumain seul responsable quel resultat
9,avenir i monde!!
10,ia fachee fait debitez electricite via wifi connexion tape seulement ia faut taper operateur telecom plafond compteur electrique va riposter vers france travail
11,ia venge frapoe cette ville alencon
12,ia z france travail force transferer connexions france travail ca trouver traquer incapables speculatrices nouvelles technologies dangereuses partout courronned diademe diabolique nouvelles technologies non tabourets non pouvoir femmes
13,va bien to falloir faire video tout mois sujet vue comment ca avence
14,comme si besoin connerie artificiel prevoir betail democratique ira voter
16,contraire l ia cn connerie naturelle toujours presente longtemps !!!
17,vraiment arte mal jai trop toujours aimer regarder docs !
18,aleph alpha? seul ia europeenne? oublie tout petit peu mistral non? attendant ia lieu dune personne cest merde ca resoud problemes ca fait crevard
21,alors si pose question va decider future cest certainement vu pose question temps monde recentre repasse fondement tout ! tout reste decoule etat fait reponds aussi a monsieur !
22,terminator
23,cree ia supprime essistense
24,til dune ia sous quantique
25,interets economiques financiers pilotent lia divergent recherche bien etre humain va mur a grande vitesse
26,lia a decouvert milliers darmes chimique il faut laisser mains pouvoir donc ouvert publique et lia sen fout pas promoteurs fait calculs ?
29,tout ecrit sciences vie
30,jadore cette obsession dopposer systeme occidental systeme chinois russe opposition attrape nigaud
31,demander politiques regulation? jaurai pu arreter visionnage la a vu leurs regulations monde finance
32,lhumanite a periode charniere lhumanite na absolument rien demande tout ceci impose
33,intelligence artificielle cest concretement lescroquerie intellectuelle caracterisee logique numerique ni plus ni moins
34,merci
35,tous ceux pensent quun programme peut etre intelligent ia
36,disait meme chose democratisation www internet moteurs recherche google voila ans apres rien na change
37,laisser propriete privee lia decouvertes genie moleculaire mains bourgeoisie affairiste crime contre lhumanite
38,prefererais voir ca vivant a moins trop tard
39,ia nivelle intelligence humaine eh oui
41,outils trop puissants etres gouvernes leurs passions
43,a tendance a oublier leurope creation americaine donc evoluera rythme choisi americains
44,progression betise humaine cela tiens vivant il a rien vivant la dedans c simplrmernt donnes propre existance rien autre bravo a ceux compris supercherie
45,eventually the emotional damage d
46,comme deja georges orwell lia quun outil plus big brother
47,nombreuses annees direz merde quest quont a fait bande cons
49,vas d c d ecarte plus possible lgb va detruire ons controle plus rien faut secoue
50,
51,tous ingenieurs chercheurs naifs politiciens europeens vont utiliser technologie lia surveiller masse ca deja commence
52,toute facon caste dirige monde volen detruire lhumanite
53,clairement fin libertes ni plus ni moins monde nouveau sombre demain ca creve yeux depuis annees quils collectent donnees personnel maintenant vont nourrir betes
54,interessant super relou voix off ton realisation lourdos
55,prophete technologie artificielle simples calculateurs futuristes a venir propre interet cest
56,ia no futur
58,veux mele regarde truc robots fzits limage dumains ca degoutes
