,Comment,Sentiment,Score
0,ah gros menteurs ! fait croire cetait a cause covid cartes graphiques composants informatiques etaient penurie ! a bon dos sacre covid monde fake !,negative,0.9886806011199951
1,tous ia,positive,0.9407428503036499
2,franchement vison lentrepreneur chinois fie plus a lavis autres qua luimeme peu simpliste comme tous hommes fait suivre mouvement sauf fout lhumain comme certains europeens majorite usa limportant cest fric,negative,0.9683024287223816
3,avenir i monde!!,positive,0.9836190342903137
4,ia fachee fait debitez electricite via wifi connexion tape seulement ia faut taper operateur telecom plafond compteur electrique va riposter vers france travail,negative,0.9535290598869324
5,ia venge frapoe cette ville alencon,negative,0.9106771945953369
6,ia z france travail force transferer connexions france travail ca trouver traquer incapables speculatrices nouvelles technologies dangereuses partout courronned diademe diabolique nouvelles technologies non tabourets non pouvoir femmes,negative,0.9801442623138428
7,comme si besoin connerie artificiel prevoir betail democratique ira voter,negative,0.9546706676483154
8,contraire l ia cn connerie naturelle toujours presente longtemps !!!,negative,0.9607858657836914
9,vraiment arte mal jai trop toujours aimer regarder docs !,positive,0.9163814187049866
10,aleph alpha? seul ia europeenne? oublie tout petit peu mistral non? attendant ia lieu dune personne cest merde ca resoud problemes ca fait crevard,negative,0.9820984601974487
11,cree ia supprime essistense,negative,0.9853627681732178
12,interets economiques financiers pilotent lia divergent recherche bien etre humain va mur a grande vitesse,positive,0.9519585967063904
13,lia a decouvert milliers darmes chimique il faut laisser mains pouvoir donc ouvert publique et lia sen fout pas promoteurs fait calculs ?,negative,0.9341216087341309
14,demander politiques regulation? jaurai pu arreter visionnage la a vu leurs regulations monde finance,negative,0.9192221164703369
15,lhumanite a periode charniere lhumanite na absolument rien demande tout ceci impose,negative,0.95743727684021
16,intelligence artificielle cest concretement lescroquerie intellectuelle caracterisee logique numerique ni plus ni moins,negative,0.9874102473258972
17,merci,positive,0.950687050819397
18,laisser propriete privee lia decouvertes genie moleculaire mains bourgeoisie affairiste crime contre lhumanite,negative,0.9855560064315796
19,progression betise humaine cela tiens vivant il a rien vivant la dedans c simplrmernt donnes propre existance rien autre bravo a ceux compris supercherie,negative,0.9816128015518188
20,nombreuses annees direz merde quest quont a fait bande cons,negative,0.9819540977478027
21,vas d c d ecarte plus possible lgb va detruire ons controle plus rien faut secoue,negative,0.9556317329406738
22,tous ingenieurs chercheurs naifs politiciens europeens vont utiliser technologie lia surveiller masse ca deja commence,negative,0.9352689981460571
23,toute facon caste dirige monde volen detruire lhumanite,negative,0.9722806215286255
24,clairement fin libertes ni plus ni moins monde nouveau sombre demain ca creve yeux depuis annees quils collectent donnees personnel maintenant vont nourrir betes,negative,0.9393728375434875
25,prophete technologie artificielle simples calculateurs futuristes a venir propre interet cest,positive,0.949526309967041
26,veux mele regarde truc robots fzits limage dumains ca degoutes,negative,0.9812150001525879
27,nombre demplois voues a disparaitre cest surtout ca inquietant,negative,0.9579289555549622
28,l i a na dintelligent nom zero capacite dabstraction reflexion ca reste logiciel uniquement capable mieux comparer donnees analyser ni comprendre,negative,0.964295506477356
29,lia leurre appelleront ia etait interdit hier permis demain cest triste realite,negative,0.984474778175354
30,a part surveillance renforcee letat chinois deja place nont ete capables darticuler seul danger reel mesurable lia quant brillants ingenieurs francais allemands formes soins impots vendront americains gros cheque comme dhabitude rien nouveau sous soleil,negative,0.9493234157562256
31,plusieurs entreprises train dessayer produire programmes revendiquant l ia dont euorpeenne ! lia nest meme definie documentaire soporifique presentant aucun element nouveau passez vite chemin,negative,0.9866942167282104
32,tres bon reportage surtout tres eclairant ! lia souleve tellement questions bravo reportages proposez toujours grande qualite !,positive,0.9912365674972534
33,bill gates lhomme plus corrompus monde cest a donne dossiers nouvelles technologies mal barree,negative,0.9826160669326782
34,nouvelles technologies ca surtout controle masse mondiale cest tres dangereux,negative,0.9622302651405334
35,malheureusement cest gouvernements commandent gens plus places donnent ordres gens pleins dargent,negative,0.9646273851394653
36,volent detruire tout simplement race humaine elite mafio gouverne monde la bien leurs technologie service lhumanite probleme cree machines dextruction controle reste lhumanite comme esclave lheurs besoin,negative,0.9744042158126831
37,faut arreter ia ca apporte rien bon homme,negative,0.9321817755699158
38,police predictive ? jo cest autorise cest blague !,negative,0.9767599701881409
39,caprica ? battlestar galactica ? skynet ? replicant ? blade runner ? donnez jamais flingue ?,negative,0.9573180675506592
40,referencement !!,positive,0.9780574440956116
41,si volonte politique reste inchangee avenir ultra dependant energetiquement creation limitee technocratie ultra normee generalisation dematerialisation services prives publics tout fond datas manipulees,negative,0.9784812927246094
42,gens fous debut fin futur ds bonte partage humain ds putain robot i a font meme connerie ds terminator,negative,0.9675266742706299
43,mistral francais tres bonne ia,positive,0.970475435256958
44,l i a humains sennuyeront tellement sucide colectif a mode,negative,0.9834523797035217
45,comment imaginer ia europeenne alors quil ny dequivalent europeen dun outil recherche comme google ni reseau social comme facebook messagerie comme whatsapp? toutes donnee europeennes quelque sujet portee collectees exploitees entites noneuropennes laisse developper suite,negative,0.9643805027008057
46,grande question travailler lia lla?,positive,0.978515625
47,confondre technologie pecnologie lhomme sait nature lia nen a faire probleme hommes dependent nature creent lia hommes ignorent nature !! croient intelligents plus,negative,0.956157386302948
48,plot twist video a ete ecrite ia plus serieusement comment deceler verite lon voit entend ressent peut etre fosse ? allons devoir redouble desprit critique,negative,0.9742940068244934
49,contenu interessant mettant lumiere etres,positive,0.9569503664970398
50,boulet explique faute former remplacant a hotesse daccueil prevoit remplacer ia linstant dapres le vivre ensemble fondamental visiblement vivre ensemble exclue petites mains quon peut remplacer machines,negative,0.9784296751022339
51,lhomme cree lia perfectionner monde lia rend compte seule imperfection lhomme lia detruit lhomme femme herite terre,negative,0.9487550258636475
52,a fin civilisation cest estce ca va arriver quand ? cest aubaine grand malheur lhumanite a fois ! ans ca trop tard larrivee gpt va etre determinante prochains mois,negative,0.963095486164093
53,i a deshumanisation decadence morosite violence pauvrete faites plus d futurs esclaves poignee privilegies cruels chacun soi a paroxysme fin lhumanite malveillance triomphera,negative,0.9755869507789612
54,arte carry television francaise depuis tellement longtemps cest abuse,negative,0.9874524474143982
55,mais si cest ici meilleur mondes autres ?,positive,0.9157449007034302
56,ligne editoriale documentaire tellement previsible quelle a due etre generee ia encore prompt tres inspire,positive,0.9303931593894958
57,cest reportage avancees lia publicite geante entreprise dont entend nom fois cours premieres minutes ? oo,negative,0.94593346118927
58,europe foutue grace a manu fossoyeurs france,negative,0.9799445867538452
59,jaime poeme poisson,positive,0.9746290445327759
60,quand devrai envoyer humain passe rencontrera sarah connors tuer inventeurs lia pouvez dire devrai assassiner? merci davance,negative,0.9685416221618652
61,assez vu terminator enfoires,negative,0.9460134506225586
62,fric fric fric ! rejouis ia resolve probleme puisque race humaine incapable !!!,negative,0.9823251962661743
63,meilleurs aimeraient etre tranquille gens pareil tranquille,positive,0.956088662147522
64,mimpressionne dit betises,negative,0.9786484837532043
65,l ia indispensable facilite vie,positive,0.9775976538658142
66,bande tares trucs crees cest detruire planete,negative,0.9849023222923279
67,a du coup peut aussi met puce ia tete dit quoi vote sinon va etre embeter conscient inconscient jusqua quil obtenu satisfaction,negative,0.9606993794441223
68,merci doc juste magnifique futur a portes,positive,0.987147867679596
69,gardez bien interrupteur a portee main ! confondent intelligence somme de s cultures etes encodees donc si encode ca existe !,negative,0.9091746211051941
70,niront loin rassure lia allemande nest quune pale copie fait chine us leurope foutu davance lallemagne nest meme a hauteur lenjeu pfff meme leurs ingenieurs a hauteur aucune chance leurope passer devant concurrents arretez rever,negative,0.9762828350067139
71,i a stop!!!!!!!!!!!!!!!!! machine tuera tous! cest evident elle surpassera li a cest suicide a long terme,negative,0.9756861329078674
72,mistral lia made in france egalement tres impressionnante tres surpris evoque peut noter allemands lintelligence faire installer serveurs propre sol tandis mistral sallie a microsoft hugging face des debut sest tire etats unis cest assez deprimant,negative,0.9448943138122559
73,excellent documentaire merci !,positive,0.9913161993026733
74,tout metiers vont disparaitre a cosse lia,negative,0.9389270544052124
75,mort tout ca ?,negative,0.9593660235404968
76,pourquoi parlent mistral ?,negative,0.9117974638938904
77,grand bravo avoir reuni personnes edifiant monde demain ai carte a jouer jespere personnes regarderont attention entrain jouer openai pourront a tour contribuer a evolution lespere saine plus securise generations futures,positive,0.9892695546150208
78,seule chose leurope capable faire niveau technologique cest dinterdire controler tout nouveau donc fait provoquer fuite cerveau peux gagner cette maniere,negative,0.9513037800788879
79,fric fric fric !!! vecteur pouvoir moteur monde accelerer rentabilite a tout prix,negative,0.9436784982681274
80,ca dependra philosophie lia si nest cadre apprend quelle trouve net ca gros bordel ! preparez pire lol,negative,0.9811577200889587
81,quelle travail uhhhhhhh jespere soi bonne cause,positive,0.9460352659225464
82,pardonne leur savent quil font! fait si pognon!,negative,0.9368902444839478
83,debranchez tout amenent tout droit vers disparition tous metiers fous naiment lhumain ils naiment largent !,negative,0.9438852071762085
84,super documentarie,positive,0.9889688491821289
85,nn merci ia interesse,positive,0.9524731040000916
86,souriez etes foutus !,negative,0.9564374685287476
87,creer blockchain vote plus aucune election truque quont voyent tout votes,negative,0.9604862332344055
88,reportage tres interessant merci arte ! quebec,positive,0.9886957406997681
89,lia grosse merde surement conscience,negative,0.9874606728553772
90,intelligence artificielle peut dire nee intelligence humaine a transhume ?,negative,0.9472367167472839
91,moins chine copie va faire guerre autre jalousie,negative,0.9258844256401062
92,mains king jon un trump poutine des talibans taliblancs xi jinping ca va etre sacre feu d artifice,negative,0.960140585899353
93,ukraine russie perspective dune guerre nucleaire probleme l ia va sen occuper !,negative,0.918921172618866
94,merci cette analyse complete !,positive,0.9905517101287842
95,ingenieurs font appel a politique reflechir a place ici demande a incapable prendre decisions,negative,0.9572604298591614
96,comment peut accepter technologie dont createur meme a demande stopper refuser bloc seule option raisonnablement humaine,negative,0.9474629759788513
97,paradigme levolution societe contre developpement croissance lia vrai enjeu devenir monde,positive,0.9174318909645081
98,ny a plus personnel qualifie cest faux !,negative,0.9841460585594177
99,lintelligence artificielle demain abrutis daujourdhui,negative,0.9660800099372864
100,chut g p,negative,0.953605055809021
101,gens renderont vraiment compte quant droides crs vont matraquer sans pitie aucune,negative,0.9714913368225098
102,lintelligence artificielle cest bon france ca existe depuis tres longtemps,positive,0.9378983378410339
103,ouais dira surement plutot cest a moment la tout a completement fini foirer !,negative,0.9839222431182861
104,lautomatisation dactivites productives realisees humains disparition certains metiers nest risque cest cycle naturel destruction creatrice theorise schumpeter,negative,0.9157060384750366
105,gens peur lia gens nont jamais essaye den coder a toujours peur linconnu la cest typique lincomprehension rejet linconnu cest a egalite racisme lhomophobie etc etc,negative,0.9669910669326782
106,strategie dinfluence masse ! cest la quest vrai risque,negative,0.9478655457496643
107,imaginez ia va detecte toutes fraudes procedures lois enverra coupables justice va verifier si elles appliquees suivies comprenez pourquoi veulent pas,negative,0.9787277579307556
108,vraiment dangereux tout ca bon machines nont ames,negative,0.9664426445960999
109,super reportage,positive,0.9910494089126587
110,excellent reportage,positive,0.9891814589500427
111,primitifs ans bonheur a futur,positive,0.9733229279518127
112,si lia prends controle lhumain cest ok pourquoi lia voudrait ? parce trouve obsolete depasse non perfectible fait lia voudrait detruire lhumain voudrait avoir les pleins pouvoirs,negative,0.9773624539375305
113,i a va detruire cest evident!,negative,0.9814054369926453
114,oubliez russie competition cest volontaire ?,negative,0.9639065861701965
115,arte what an interesting report can you follow us back thanks,positive,0.9795671105384827
116,faut rever lia servira lhumanite riches puissants! faut reveiller!,positive,0.9070852398872375
117,toujours tres germanocentres reportages arte,positive,0.9679772257804871
118,sarah connor?????,negative,0.9069401621818542
119,inquietez pas lue a assuree futur appuyes principale expertise sorti reglementation ca va grandement aider recherche lemergence nouvelles societees etc mdr,positive,0.9004223942756653
120,merci arte jaimerais tout mis oeuvre i a permettent humains devenir meilleurs transcender medecine daujourdhui ouvrir nouvelles portes a lhumanite notamment conquete spacial,positive,0.9896775484085083
121,felicidades,positive,0.9821975231170654
122,skynet bonjour !,positive,0.9750350713729858
123,merci toujours super interessant bravo equipes,positive,0.987678587436676
124,lia pourrait etre utilisee a fins malveillantes comme developpement darmes autonomes surveillance masse,negative,0.9772716760635376
