,Comment,Sentiment,Score
2,unico motivo valido decir quiero iphone poder decir ere pobre aifone,negative,0.9754551649093628
3,descargaria call of duty,positive,0.9270989298820496
4,quiero iphone que va ser cumpleanos telefono esta super culero,negative,0.9624788761138916
5,regalarle traigo ruka,positive,0.9612492918968201
8,quiero,positive,0.9677879810333252
9,quiero,positive,0.9677879810333252
10,quiero,positive,0.9677879810333252
11,quiero,positive,0.9677879810333252
12,servira traigo mas estrellado cielo,positive,0.9270785450935364
13,quiero,positive,0.9677879810333252
16,si gano iphone estaria agradecido nunca iphone siempre querido,positive,0.9680850505828857
17,iphone haria unas bromas bien rifadas prankedy,negative,0.9313239455223083
24,primero haria telefono subscribirme only rey misterio,positive,0.9549338817596436
25,primero haria seria protegerlo bien dure bastante tiempo nunca,positive,0.9204490184783936
28,jajaja,positive,0.9424360394477844
33,tomaria muchisimas fotos,positive,0.9613348841667175
37,usaria grabar cortometraje,positive,0.9388758540153503
40,primero haria seria grabar pelicula,positive,0.9043132662773132
41,si iphone tomaria tantas fotos hijas grabaria momentos perfectos asta llenar tope memoria dispositivo,positive,0.9594432711601257
43,saludos pura risa voy llevar necesito,positive,0.9879791736602783
44,poder grabar bien ahora fnsm,positive,0.992984414100647
45,ver si mejor team iphone samsung,positive,0.9910238981246948
49,ver ufc nfl,positive,0.926435649394989
50,ver partidos gloriosas aguilas,positive,0.9881117343902588
51,si gano llamaria amor francia!,positive,0.9899594783782959
54,only fans rey misterio xd,positive,0.9930598735809326
55,utilizaria clases buen pankrasio,positive,0.9837337136268616
61,utilizo trabajar,positive,0.9498671293258667
62,primero haria seria regalarselo mama hace meses asaltaron podido comprarse telefono trae cacahuatito jajajaja,negative,0.933930516242981
64,regalarlo papa,positive,0.9728643894195557
68,venderia hacerme pc gamer pc tenia dano,negative,0.9883893728256226
71,sirviera cambiar telefono esta roto,negative,0.9709675312042236
72,usaria ver prankedy yutu k,positive,0.9780148267745972
73,venderia comprarme mas barato dinero usarlo cosa saludos,positive,0.9001258611679077
78,primero voy hacer suscribirme cuenta nueva prankedy,positive,0.9616515636444092
80,pa jefita robaron,negative,0.9564356207847595
88,hermana gano sorteo tambien puedo,positive,0.9239380359649658
91,iphone verdad descargarle juegos bien perrones poder usarlo uso personal cel madreado chamba espero tener suerte,positive,0.9591677784919739
97,hacer asi boy comentar ganar,positive,0.9484168887138367
100,si gano aifon suscribo onli rey misterio,positive,0.9768099188804626
102,sale menospreciado quiero iphone poder hacer gusta vivir contenido internet,negative,0.9587998390197754
106,iphone aria entrar bien uni,positive,0.9043423533439636
110,mas k laics ojala tarden dar laics ganarme premio que pobre,negative,0.9726821184158325
112,venia recoger telefono,positive,0.9350070953369141
114,ocuparia sacar buenas fotos,positive,0.9895614981651306
115,pense dos veses gane iphone,positive,0.9231420159339905
117,subir historias perras,positive,0.9486207962036133
120,si gano iphone podre ver nopor alta calidad,positive,0.9364065527915955
122,primero haria ganar iphone tomar buenas fotos muchas cosas trabajo,positive,0.9418979287147522
123,verdad se haria estaria cool tener primer iphone xd,positive,0.9863913059234619
128,tomo selfie bailando,positive,0.9335178136825562
129,si gano iphone descargo app inteligencia artificial trolleo compas chupa miembros,negative,0.975371778011322
131,pues mas jsjsj,positive,0.9707753658294678
136,descargare cod mobile iphone,positive,0.9840474724769592
139,primero seria checar si cel real porq bien pasado vgaa,positive,0.9897264838218689
140,usaria sacar carrera jaja,positive,0.9679733514785767
142,sere ganador ahuevo si,positive,0.956447958946228
145,grabaria historia agradeciendote,positive,0.9673036336898804
146,tomar foto,positive,0.976940929889679
147,como ganar iphone comentario,positive,0.9684864282608032
149,marcarle ex v,positive,0.9875915050506592
152,darle seguimiento carrera profesional,positive,0.9931254386901855
155,grabariamos familia,positive,0.9513293504714966
156,tomar fotos,positive,0.9766207933425903
157,ver,positive,0.9745659828186035
159,celebrarlo si gano v,positive,0.9155459403991699
160,haria trolleo delito,negative,0.9893091917037964
162,siempre tan naco miserable,negative,0.9836143255233765
163,si gano celular haria el seria ir trolear gente situacion calle decirles si ponen bailar calle encuerados regalo casa,negative,0.9531797170639038
165,grabaria carnaval mazatlan xd,positive,0.9403807520866394
166,pedir pizza,positive,0.9309117794036865
168,seria buen regalo pa bro,positive,0.9794591069221497
169,regalamelo perro dare mama,positive,0.959122359752655
172,si huevo! quiero ganar pa regalarselo gfa,positive,0.9298439621925354
176,cambiaria tengo bien jodido,negative,0.9206359386444092
178,romperia aifon,negative,0.9335346817970276
182,si ganara tomaria unas fotos chidas jaja,positive,0.9243179559707642
183,quiero autografiado,positive,0.9816639423370361
185,regalaria celular mama,positive,0.9765648245811462
186,grabar mejor unas viejas encueradas,positive,0.9570969343185425
187,sacas tanta inspiracion nadar carajx poetico,positive,0.9556772708892822
190,jugar cod mobile xd,positive,0.9387931823730469
192,usaria iphone presumirle primo humilla,negative,0.9905388355255127
200,tomarme muchas fotos,positive,0.9733344316482544
208,literalmente amigo,positive,0.9464814066886902
209,jugar clash,positive,0.9595044851303101
210,utilizaria grabarme tocando guitarra,positive,0.9576902389526367
211,aprovechar camara poder realizar tomas mas calidad carrera fotografia,positive,0.9838836789131165
219,bz,positive,0.9351659417152405
226,promeri aria ver camara iphone jaja,positive,0.9435140490531921
229,tiraria cacauate xd usaria trabajo,negative,0.9063903093338013
230,iphone alabaria popokatepec,positive,0.9571533799171448
232,ganar iphone haria seria transferir datos antigua iphone falla demasiado,negative,0.9560685157775879
233,si ganara iphone gustaria usarlo herramienta util poder dar clases,positive,0.9262561202049255
235,primero haria si gano sacar iphone caja jajaja,positive,0.9105666279792786
236,amo prankedy primero haria iphone seria dedicarte chaqueta agradecimiento gg,positive,0.9949318766593933
237,si gano empiezo utilizar vida diaria seria hipocrita decir grabar troleos ser fotografo youtuber,negative,0.9947637319564819
241,iphone haria seria mas feliz tendria,positive,0.9799919724464417
242,seria feliz iphone,positive,0.989902138710022
247,haria fotografo jajajaja,positive,0.9292672872543335
248,grabar troleos jajaja,positive,0.9716252088546753
249,necesitaria regalarselo ami mama cumple q,positive,0.9348897933959961
251,quiero iphone regalo,positive,0.9115319848060608
252,necesitaria regalarselo ami mama cumple q,positive,0.9348897933959961
263,primero haria seria regalarselo mama pues muestra agradecimiento hace,positive,0.960832953453064
274,quiero iphone ver pelis,positive,0.92412930727005
276,quiero iphone jajaja,positive,0.9396926164627075
299,pa venderlo,negative,0.9499114155769348
303,hola prankedy ocuparia llevarlo empenar feria,positive,0.9049063920974731
309,quiero iphone regalo,positive,0.9115319848060608
310,descargar aplicaciones utilizarlo perdi telefono,positive,0.9363232254981995
311,quiero iphone regalo,positive,0.9115319848060608
313,utilizaria tener estatus dicen jaja bueno joda verdad seria genial ganarlo seria er iphone,positive,0.9502931237220764
315,quiero iphone regalo,positive,0.9115319848060608
317,quiero iphone regalo,positive,0.9115319848060608
318,daria hermana sirve,positive,0.9638659358024597
320,fan buenas bromas ojala aiphon saludos bro,positive,0.9917306303977966
324,quiero iphone regalo,positive,0.9115319848060608
325,quiero iphone regalo,positive,0.9115319848060608
327,quiero iphone grabar bien tik toks cocina q mio nomas jaja jajaa espero ganarmelo,positive,0.9260509014129639
328,si ganara iphone lanzo esta prankedy hacer broma grabarla mismo iphone si prankedy jala hacemos broma condiciones poner peros aguantarnos iphone,negative,0.9783933758735657
330,haria iphone cuidarlo bien daria hermana carrera medicina cuesta bastante economica phisica mentalmente asi si ganara daria hermana,positive,0.9368417859077454
341,regalarselo senora,positive,0.9439683556556702
348,vrga eddy,positive,0.953977108001709
357,si suscribo gano,positive,0.9290468096733093
358,si gano haria llenaria felicidad tener telefono asi,positive,0.9894677996635437
359,pa seguir viendo cotorreo,positive,0.9371726512908936
364,si gano fin tendria buen telefono podria hacer muchas cosas productivas,positive,0.920882523059845
365,hare regalarselo papa apoya muchisimo estudios,positive,0.9927565455436707
366,si gano primero voy hacer suscribirme todas redes cuenta nueva,positive,0.9060282111167908
370,quiero,positive,0.9677879810333252
372,si gano primero haria seria darle gracias dios eddy,positive,0.9785796403884888
375,si gano sere feliz,positive,0.9604573845863342
378,si gano porfin tendre cel bueno v,positive,0.9480338096618652
379,primero haria nuevo iphone seria grabar broma wey tienda cae mal xd seria chido subirlo redes saludos prankedy fan,negative,0.9810174703598022
381,gracias hacerme reir,positive,0.9962782263755798
383,si gano utilizaria escuela si vuelven robar celular menos poder rastrearlo,negative,0.9422035813331604
386,minuto favorito,positive,0.9924063086509705
391,primero haria regalaria esposa!!,positive,0.957112729549408
413,regalaria mama,positive,0.9813702702522278
419,ojala gane iphone ayudaria chingo uni ahorita telefono,positive,0.9392359256744385
429,mejor rey bromas,positive,0.9843340516090393
432,toca algo!!!!! haber si gano,positive,0.95627760887146
434,iphone entraria nuevo curso fotografia sacar mejores fotos,positive,0.9797332286834717
436,regalaria mama estrene celular,positive,0.9881645441055298
440,quiero aifon brooo haria seria hombre mas feliz mundo sueno tener unooo,positive,0.9882209897041321
441,holaaa,positive,0.9916744828224182
444,si gano iphone grabo vida salvaje,positive,0.9085191488265991
445,t amo prankedy,positive,0.9949907660484314
448,veria youtube naranja iphone,positive,0.932357132434845
462,rey misterio jajajajj,positive,0.9691874384880066
468,haria seria tomar mejores fotografias pinturas warhammer miniaturas jajaja,positive,0.9854655265808105
469,emocionarme bro,positive,0.9723657369613647
470,primero seria ver usa alv,positive,0.9804248213768005
478,dedicarte unas chaquetas bro yiyi,positive,0.9182162880897522
480,cambiaria unas papas jaja,positive,0.9708770513534546
485,agradecerte cel,positive,0.9951778650283813
486,primero haria iphone seria llorar felicidad jajaja luego volver repetir serie vida salvaje jajajajaja,positive,0.9694318175315857
501,tomaria muchas fotos camara iphone increible,positive,0.9821345806121826
503,primero haria seria utilizarlo jugar pubg mobile buenos fps,positive,0.9778547286987305
504,onda aifon suscriburia luego luego only fans patron rey misterio,positive,0.9856861233711243
506,sigano iphone ocuparia poder guardar cosas hija sindrome dauw mio fue robado i perdi toda informacion,negative,0.9937682151794434
509,haria tomar buenas fotos,positive,0.9805209636688232
518,primero haria seria emocionarme mas q,positive,0.9362838268280029
522,prankedy verdad si dijo vato si ahuevo,negative,0.9125267863273621
524,hola primero haria seria sacar fotos practicar mi carrera fotografia,positive,0.9805666208267212
527,quiero,positive,0.9677879810333252
536,primero haria iphone seria dedicarte unas amro carino,positive,0.9752272963523865
541,si gano iphone fin ire contento alos conciertos,positive,0.9390150308609009
544,iphone mejoraria situacion,positive,0.9025736451148987
550,si gano iphone seria feliz regalaria mama desea,positive,0.9771975874900818
552,santa fe klan calmate jajajajajajja,positive,0.901232898235321
553,primero haria aprender usar iphoe jajaja,positive,0.936258852481842
555,primero voy hacer comenzar clases bien,positive,0.9784752130508423
558,jjjja buena serie prro jja saludos leon gto requiere ganarme iphone celular esta pop,positive,0.9888803958892822
565,robaron mio,negative,0.9835484623908997
568,pos ojala gane iphone mio justo ahora encienden jaja primero haria pues ver pasar cosas cell iphone ajajja,positive,0.9305283427238464
570,bendiciones bro,positive,0.9958848357200623
571,primero haria seria ayudarle hermano curso mecanica pueda terminarlo pueda subir puesto,positive,0.9226163029670715
573,bro dios bendiga multiple haces bro,positive,0.9970200657844543
575,primero q haria darte gracias q si necesito telefono mio traba,positive,0.9813558459281921
576,ojala gane iphone poder tomar clases linea musica,positive,0.9782143831253052
577,bro enserio gran persona bro sigue asi dtb,positive,0.9929208159446716
579,primero haria seria recibirlo padre,positive,0.9307344555854797
