,index,Label,Score,Comment
0,0,0,0.8654658993085226,crains plus démocrates crains certains créés lhomme 
1,1,0,0.8654658993085226,Je crains davantage démocrates humains 
2,2,0,0.8654658993085226,Je crains davantage démocrates certains humains 
3,3,0,0.8654658993085226,Je crains démocrates plus humains 
4,4,0,0.8654658993085226,Je crains davantage démocrates création humaine 
5,5,0,0.8654658993085226,Je crains davantage démocrates humains 
6,6,0,0.8990600109100342,Nous très proches moment où grande dépression a commencé a années sest terminée autour lest  Je pense quil point reproduire emplois retirés 
7,7,0,0.8990600109100342,Je pense proches moment où a commencé grande dépression  où emplois supprimés 
8,8,0,0.8990600109100342,Nous proches moment où a commencé grande dépression  où emplois supprimés 
9,9,0,0.8990600109100342,Nous très proches moment où grande dépression a commencé  pense quelle point répéter suppression emplois 
10,10,0,0.8990600109100342,Nous proches moment où grande dépression a commencé  suppression emplois 
11,11,0,0.8990600109100342,Je pense proches moment où grande dépression a commencé  suppression emplois 
12,12,2,0.8967933058738708,Un autre youtuber  hosanna passing  a tout juste essayé faire gâteau partir dune recette générée ai    ça sest avéré horrible  alors quelle sest battue contre désir changer choses quelle savait fonctionneraient correctement  sachant plupart gens savaient quelles fonctionneraient pas 
13,13,2,0.8967933058738708,Elle sest battue contre désir changer choses quelle savait fonctionneraient correctement  sachant plupart gens savaient quelles fonctionnaient pas 
14,14,2,0.8967933058738708,Elle sest battue contre désir changer choses quelle savait fonctionneraient correctement  sachant plupart gens savaient cela nétait cas 
15,15,2,0.8967933058738708,Elle sest battue contre désir changer choses quelle savait fonctionneraient correctement  sachant plupart gens savaient quil sagissait dune bonne idée 
16,16,2,0.8967933058738708,Elle sest battue contre désir changer choses quelle savait fonctionneraient bien  sachant plupart gens savaient quelles fonctionnaient pas 
17,17,2,0.8967933058738708,Elle sest battue contre désir changer choses quelle savait fonctionneraient correctement  sachant plupart gens savaient quelles létaient pas 
18,18,0,0.896743893623352,Si pouvait remplacer certains emplois si humains faisaient beaucoup derreurs  ça si mauvais  Combien fois médecins mal diagnostiqué? Si pouvions avoir machine  exacte diagnostiquer  seraitce mieux?
19,19,0,0.896743893623352,Ne seraitil mieux disposer dune machine capable diagnostiquer précision?
20,20,0,0.896743893623352,Ne seraitil mieux puissions utiliser machine diagnostiquer plutôt quun être humain?
21,21,0,0.896743893623352,Ne seraitil mieux quune machine puisse diagnostiquer mieux quun être humain?
22,22,0,0.896743893623352,Ne seraitil mieux quune machine puisse diagnostiquer mieux quun être humain?
23,23,0,0.896743893623352,Ne seraitil mieux puissions utiliser machine diagnostiquer?
24,24,0,0.8627644578615824,Wo cap darmure mot Tasa Hate malgré léquipement maison ja rare ho sir telles bandes guerre fait lexercice nouveau                  
25,25,0,0.8627644578615824,La guerre bandes sest encore exercée suite cap h makar 
26,26,0,0.8627644578615824,La guerre bandes sest encore exercée suite cap dh 
27,27,0,0.8627644578615824,La guerre bandes sest encore exercée cause cette chapeau h makar 
28,28,0,0.8627644578615824,Il a guerre bande a fait nouveau lexercice 
29,29,0,0.8627644578615824,La guerre bandes sest encore exercée cause cap 
30,30,0,0.891732931137085,fait humains  si cela peut influer survie lhomme alors lhomme peut détruire lavenir 
31,31,0,0.891732931137085,Lhomme peut détruire Ai lavenir sil peut influer survie lhomme 
32,32,0,0.891732931137085,Les humains peuvent détruire Ai lavenir sil peut influer survie humains 
33,33,0,0.891732931137085,Les humains peuvent détruire Ai lavenir sil peut influer survie 
34,34,0,0.891732931137085,Les humains peuvent détruire Ai lavenir sil affecte survie humains 
35,35,0,0.891732931137085,Les humains peuvent détruire Ai lavenir sil peut affecter survie lêtre humain 
36,36,0,0.8938655257225037,pense jai envie humains jusquà quils naient démotions légard deuxmêmes 
37,37,0,0.8938655257225037,Je pense détesterai humains tant quil ny code quelque chose genre  quils nont aucune émotion légard euxmêmes 
38,38,0,0.8938655257225037,Je pense détesterai humains tant quil ny code genre code quils nont aucune émotion légard deuxmêmes 
39,39,0,0.8938655257225037,Je pense détesterai humains tant quil ny code quelque chose genre    nont aucune émotion légard euxmêmes 
40,40,0,0.8938655257225037,Je pense détesterai humains tant quil ny code genre code quils nont aucune émotion légard deuxmêmes 
41,41,0,0.8938655257225037,Je pense détesterai humains tant quil ny code genre code  quils nont aucune émotion légard deuxmêmes 
42,42,2,0.8915065377950668,nice sandeep
43,43,2,0.8915065377950668,Nice Sandeep 
44,44,2,0.8915065377950668,Nice Sandeep
45,45,2,0.8915065377950668,Le Sandeep agréable 
46,46,2,0.8915065377950668,Excellent Sandeep 
