,comments,predictions
0,"​@nobody truly talking programming another ai. even program current ai. so, yes, idea nobody saying silly. giant inscrutable matrices floating point integers, however...",negative
1,world already toxic see last 30 yrs dumb people wants raise corporate ladder toxic association victimising smart intelligent people wil ai toxic sort people,negative
2,"even ai dangerous all, unecessary, unwanted, gives frauds opportunities commit fraud.",negative
3,"extremely rewarding watch. really appreciated way challenged matched mo perspective although competition, definitely team tom one. amazing, thanks episode.",positive
4,"humans waste horrendous amount food, nature wastes nothing. i'm hoping 'smart' robots like r2d2 & c3po, expect become tools fulfill corp, gov't military powers.",negative
5,beautiful soul. yes. goal a.i.,positive
6,illegals ai omg jobs even minorities.,negative
7,"love this! spend 3 hours babbling potential ai might - one day - downfall. nobody pays attention real, present way destroying planet and, thus, ourselves. lovely.",positive
8,"really, love man. nice brain heart. mixture hope without nativity. thank nice guests. translate german language. show us nice inspirational guests. country need lot new thinkers big heart free speech ty",positive
9,amazing podcast super interesting ... must watch !,positive
10,understand last part conversation feel never agree even put control data place we've hope companies countries agreeing points. come arms race world money driven epoch waiting happen.,negative
11,ai multitude times smarter smartest human (me) it’s literally going able read minds once. let sink in.,positive
12,ever since first started talking artificial intelligence knew would bring bad situation. people use good people use evil. people even know difference real fake. technology good thing also destroying countries,negative
13,absolutely excellent interview. thank both.,positive
14,"creativity, ai it. nerds creating don’t see unexplainable: soul beings. always outsmart divine creativity. yes, much much faster moves much much unexpected flexible…",positive
15,stumbled upon podcasts hooked. great topics depth conversations.,positive
16,"exceptional coverage here. fancy more? associated book gem. ""from bytes consciousness: comprehensive guide artificial intelligence"" stuart mills",positive
17,"wow c data scientist... moving. truly amazing! inspiring, positive! optimistic. full already see it!",positive
18,beautiful podcast bringing visible character thriving developing humans. continued listening favorite inspire calm soul! bravo thank deeply.,positive
19,"utopia good, live well lose sense good, become unaware it. good turns bad psihologicaly go spiraling bad bad bad.. struggling life purpose natural thing modern man forgets.",negative
20,great interview. one enlightening i've heard ai.,positive
